Frequency [Hz],Amplitude,X [mm],Y [mm]
8.9273,-4.2119,-3.9527,-4.5013
8.966,-3.8798,-3.8329,-4.6185
9.0046,-3.8934,-3.9535,-4.3969
9.0433,-3.9734,-4.215,-4.5753
9.0819,-3.891,-4.5949,-4.6169
9.1206,-3.7441,-3.9202,-5.1977
9.1592,-3.9888,-4.2927,-4.8163
9.1978,-3.9758,-3.9517,-6.2181
9.2365,-3.9136,-4.3968,-4.5288
9.2751,-4.0778,-3.8767,-4.2657
9.3138,-3.9567,-4.1815,-4.4683
9.3524,-3.8629,-3.8279,-4.3861
9.3911,-3.8707,-4.0381,-4.5922
9.4297,-3.7142,-4.656,-4.4213
9.4684,-4.2881,-4.0095,-4.5881
9.507,-4.0072,-4.243,-4.9538
9.5457,-3.964,-4.508,-4.6672
9.5843,-3.8278,-3.7947,-4.8328
9.623,-4.1175,-4.1412,-4.5149
9.6616,-3.9284,-3.8548,-4.3317
9.7002,-4.0172,-4.0323,-4.2838
9.7389,-3.7907,-3.7902,-4.2526
9.7775,-3.987,-4.0257,-4.1388
9.8162,-4.0482,-3.9828,-4.3544
9.8548,-4.059,-4.3035,-4.176
9.8935,-3.9373,-3.8669,-4.1749
9.9321,-4.0665,-4.0437,-3.9885
9.9708,-3.7479,-3.5793,-3.638
10.0094,-3.9322,-4.0043,-3.2864
10.0481,-4.343,-4.1508,-3.9261
10.0867,-3.8496,-3.9193,-4.1943
10.1254,-4.1307,-3.8611,-4.5061
10.164,-3.9308,-3.879,-4.4714
10.2027,-3.8812,-4.0204,-4.5564
10.2413,-4.1955,-4.0768,-4.4385
10.2799,-4.049,-4.7643,-4.1948
10.3186,-3.8259,-3.8102,-4.4639
10.3572,-3.7618,-3.6644,-4.2918
10.3959,-3.9564,-4.8475,-4.2087
10.4345,-4.2813,-3.8157,-4.8896
10.4732,-3.9663,-4.3929,-4.7951
10.5118,-3.9465,-4.1552,-4.3184
10.5505,-4.0058,-3.953,-4.3101
10.5891,-3.8705,-3.8577,-5.2314
10.6278,-3.9017,-3.8978,-4.659
10.6664,-3.8826,-3.9562,-4.3764
10.7051,-4.1752,-4.8219,-5.1584
10.7437,-4.0813,-4.4137,-5.0156
10.7823,-4.1299,-3.8223,-4.3812
10.821,-3.9772,-4.2655,-4.8651
10.8596,-3.887,-3.6566,-4.312
10.8983,-3.9894,-4.2652,-4.8148
10.9369,-4.1698,-4.3565,-4.8435
10.9756,-3.9173,-4.1519,-4.8951
11.0142,-3.844,-3.9303,-4.4059
11.0529,-3.8022,-3.764,-4.5227
11.0915,-4.2921,-3.9746,-4.4817
11.1302,-4.0794,-4.4619,-5.1484
11.1688,-4.1636,-4.0754,-4.3755
11.2075,-3.8773,-3.9814,-4.4764
11.2461,-4.5981,-4.0728,-4.9426
11.2848,-4.0291,-4.0626,-4.7254
11.3234,-4.0964,-3.9849,-4.8783
11.362,-4.0647,-4.3128,-5.0194
