Frequency [Hz],Amplitude,X [mm],Y [mm]
47.5351,-4.5787,-4.5998,-4.5208
47.5737,-4.8589,-4.0678,-4.8414
47.6124,-4.2657,-3.7455,-4.5844
47.651,-4.8155,-4.5058,-4.7051
47.6897,-4.9482,-4.2805,-5.1416
47.7283,-4.3641,-4.0644,-4.7715
47.767,-4.0185,-3.7551,-4.5111
47.8056,-4.6987,-4.1372,-5.7491
47.8443,-4.8053,-4.2883,-4.3325
47.8829,-4.6808,-4.1036,-4.6939
47.9216,-4.3636,-4.0465,-4.935
47.9602,-4.3615,-4.3136,-4.2668
47.9988,-4.4331,-4.0746,-4.9052
48.0375,-4.43,-4.1999,-4.4277
48.0761,-4.3113,-4.0539,-5.0292
48.1148,-4.323,-4.0596,-5.2678
48.1534,-4.5393,-4.5313,-4.4592
48.1921,-4.4052,-4.4682,-4.5902
48.2307,-4.3386,-4.3477,-4.5682
48.2694,-4.6292,-3.9897,-4.512
48.308,-4.4229,-4.1741,-4.7419
48.3467,-4.1926,-4.0614,-4.7006
48.3853,-5.0722,-4.4921,-4.597
48.424,-4.405,-4.1169,-4.608
48.4626,-4.8385,-4.1317,-4.5552
48.5012,-4.6043,-4.2421,-4.7987
48.5399,-4.3089,-4.466,-4.3842
48.5785,-4.3446,-4.1558,-4.6311
48.6172,-4.5178,-4.1712,-4.7124
48.6558,-5.1221,-4.0389,-5.0807
48.6945,-4.3959,-4.4547,-4.6737
48.7331,-5.0252,-4.3377,-5.3129
48.7718,-4.4883,-4.2572,-5.0928
48.8104,-4.3686,-3.9054,-4.5876
48.8491,-4.2563,-4.1455,-4.5987
48.8877,-4.4039,-4.6213,-4.4168
48.9264,-4.2096,-3.9782,-4.7316
48.965,-4.1169,-3.9983,-4.686
49.0037,-4.4574,-4.0799,-4.5633
49.0423,-4.2971,-4.0332,-4.5023
49.0809,-4.2417,-4.0487,-4.7034
49.1196,-4.4936,-4.1413,-4.4961
49.1582,-4.6037,-4.287,-4.854
49.1969,-4.5918,-4.1031,-4.8005
49.2355,-4.4108,-4.1398,-4.7476
49.2742,-4.7798,-4.19,-4.853
49.3128,-5.0281,-3.9089,-4.4416
49.3515,-5.7541,-4.0553,-4.4498
49.3901,-4.5377,-4.0611,-4.5717
49.4288,-4.854,-4.123,-5.5918
49.4674,-4.2036,-4.001,-4.693
49.5061,-4.656,-5.2049,-4.4201
49.5447,-4.1963,-4.1176,-5.372
49.5833,-4.2042,-3.835,-4.6918
49.622,-4.5829,-4.0582,-4.7235
49.6606,-4.4389,-4.1686,-4.7136
49.6993,-4.6016,-4.2214,-4.2292
49.7379,-5.1739,-4.2358,-4.4875
49.7766,-4.6841,-4.2318,-4.685
49.8152,-4.6088,-4.2576,-4.9311
49.8539,-4.1496,-4.0128,-5.1707
49.8925,-4.3375,-4.0788,-4.3208
49.9312,-4.353,-4.0193,-5.4487
49.9698,-3.9748,-3.4708,-4.1559
50.0085,-4.2475,-4.05,-4.4819
50.0471,-4.382,-4.0908,-4.4243
50.0858,-4.3169,-4.4121,-4.5047
50.1244,-4.4716,-4.4248,-4.5206
50.163,-4.3249,-3.9982,-4.3515
50.2017,-4.3075,-4.2119,-5.0908
50.2403,-4.2174,-4.0105,-4.4929
50.279,-4.3076,-3.966,-5.0735
50.3176,-4.0185,-3.7831,-4.5741
50.3563,-4.6047,-3.9959,-4.4
50.3949,-4.5542,-4.4804,-4.4461
50.4336,-4.355,-4.1051,-4.5591
50.4722,-4.5706,-4.2276,-4.5766
50.5109,-4.0853,-3.9309,-4.6071
50.5495,-4.3622,-4.3257,-4.886
50.5882,-4.6127,-4.0966,-4.8089
50.6268,-4.5095,-4.4982,-4.4397
50.6654,-4.1155,-3.7996,-4.7994
50.7041,-4.1836,-4.0009,-4.6025
50.7427,-4.464,-4.3315,-4.7789
50.7814,-4.6075,-5.0176,-4.4491
50.82,-4.7985,-3.9117,-4.7795
50.8587,-4.2127,-4.1665,-4.423
50.8973,-4.3392,-3.9876,-4.6778
50.936,-4.6802,-4.3829,-5.0854
50.9746,-4.3766,-4.2938,-4.8352
51.0133,-4.4824,-4.5159,-4.3883
51.0519,-4.0984,-3.9548,-4.5023
51.0906,-4.4629,-4.1946,-4.5026
51.1292,-4.2737,-4.1677,-4.4729
51.1679,-4.3338,-4.0165,-4.8791
51.2065,-4.1673,-3.8861,-5.0408
51.2451,-4.3068,-3.9717,-4.3802
51.2838,-4.807,-5.5724,-4.4671
51.3224,-4.2736,-4.0135,-4.1351
51.3611,-4.3159,-4.2571,-4.7992
51.3997,-4.3539,-4.288,-4.4045
51.4384,-4.1686,-3.9972,-4.4262
51.477,-4.9599,-4.4853,-4.9018
51.5157,-4.398,-4.4581,-4.9066
51.5543,-4.5597,-3.9792,-4.4516
51.593,-4.3439,-4.1386,-4.5477
51.6316,-4.2945,-4.1131,-4.2929
51.6703,-4.3143,-4.2525,-5.4861
51.7089,-4.9478,-4.0925,-4.5921
51.7475,-4.5454,-4.0483,-4.6104
51.7862,-4.8977,-4.2824,-4.778
51.8248,-4.8273,-4.2738,-5.1825
51.8635,-4.4838,-4.6116,-4.8825
51.9021,-4.4961,-4.59,-4.7035
51.9408,-4.4694,-4.1403,-4.8631
51.9794,-4.7373,-4.4318,-4.6969
52.0181,-4.3321,-4.1046,-5.4251
52.0567,-5.0037,-4.3476,-4.7574
52.0954,-4.5793,-4.4927,-5.284
52.134,-4.829,-4.3912,-4.5715
52.1727,-4.2902,-4.2259,-4.7073
52.2113,-4.5446,-4.3256,-4.6289
52.25,-4.8892,-5.1269,-4.9477
52.2886,-4.9446,-4.1186,-5.3463
52.3272,-4.7171,-4.0089,-5.2514
52.3659,-4.099,-3.8551,-5.7557
52.4045,-4.5356,-4.5362,-4.6028
52.4432,-4.4479,-3.9624,-4.4089
52.4818,-4.3157,-4.6298,-5.0965
52.5205,-4.2904,-4.0164,-4.5853
52.5591,-4.5799,-4.0885,-4.6129
52.5978,-5.1168,-4.2927,-4.4204
52.6364,-5.6451,-4.2146,-4.6466
52.6751,-4.3925,-4.9519,-4.4326
52.7137,-4.6135,-4.341,-4.8162
52.7524,-4.3133,-4.344,-4.5441
52.791,-4.4455,-4.0601,-4.3883
52.8296,-4.41,-4.2561,-4.9699
52.8683,-5.4055,-4.3153,-4.6024
52.9069,-4.4365,-4.2316,-5.3403
52.9456,-4.5523,-3.9956,-4.9815
52.9842,-4.559,-3.9721,-4.6935
53.0229,-4.3934,-4.3121,-5.1572
53.0615,-4.2652,-4.0929,-4.8358
53.1002,-4.3642,-4.3556,-4.4586
53.1388,-4.6035,-4.4883,-4.6637
53.1775,-4.7917,-4.1406,-4.3601
53.2161,-4.3992,-4.486,-4.7163
53.2548,-4.3879,-4.2062,-4.6065
53.2934,-4.5141,-4.1283,-5.4672
53.3321,-4.8321,-4.504,-4.3423
53.3707,-4.4289,-4.1031,-4.5057
53.4093,-4.7388,-5.0746,-4.309
53.448,-4.7889,-4.6678,-4.8634
53.4866,-4.4989,-4.2097,-4.6769
53.5253,-4.7392,-4.1103,-4.4763
53.5639,-4.8001,-4.0691,-4.8104
53.6026,-4.9835,-4.3089,-4.5432
53.6412,-4.6584,-4.168,-4.5155
53.6799,-4.549,-4.4666,-4.6107
53.7185,-4.708,-4.8404,-4.4702
53.7572,-4.2541,-3.9254,-4.65
53.7958,-4.3719,-4.2945,-4.7844
53.8345,-5.2578,-4.2581,-4.6297
53.8731,-4.413,-4.5015,-5.2694
53.9117,-4.313,-3.8916,-4.8795
53.9504,-4.2885,-3.9903,-4.7897
53.989,-4.4225,-4.0784,-4.7605
54.0277,-4.2389,-4.0141,-4.4368
54.0663,-4.8168,-4.4575,-4.5163
54.105,-4.872,-4.298,-4.7778
54.1436,-4.3811,-4.5546,-4.368
54.1823,-4.7128,-4.4538,-4.5658
54.2209,-4.4125,-4.7545,-4.5889
54.2596,-4.2315,-4.2305,-4.63
54.2982,-4.8003,-4.467,-5.0749
54.3369,-4.6881,-5.0412,-4.8528
54.3755,-4.3418,-4.1141,-5.41
54.4142,-4.6368,-4.3919,-4.5577
54.4528,-4.3709,-4.1201,-5.2675
54.4914,-4.7648,-4.3679,-4.6846
54.5301,-4.6124,-4.3108,-4.3731
54.5687,-4.6596,-4.1361,-5.3917
54.6074,-4.9395,-4.7726,-4.5257
54.646,-4.4488,-4.2801,-4.4924
54.6847,-5.1183,-4.1864,-4.4281
54.7233,-4.5283,-4.2712,-4.8736
54.762,-5.5385,-4.6558,-4.6237
54.8006,-5.1141,-4.099,-4.4931
54.8393,-4.6385,-4.798,-4.9498
54.8779,-5.0379,-5.1711,-4.7663
54.9166,-4.2627,-4.1618,-4.8327
54.9552,-4.328,-4.4181,-4.4933
54.9938,-4.3887,-4.1619,-4.4967
55.0325,-4.3793,-4.1309,-4.5281
55.0711,-4.5768,-4.0299,-4.4849
55.1098,-4.5657,-4.6986,-4.3109
55.1484,-4.9987,-4.4617,-4.3668
55.1871,-4.6592,-4.3477,-4.6272
55.2257,-4.3894,-4.4403,-4.41
55.2644,-4.3937,-4.3972,-4.9863
55.303,-4.4887,-4.1186,-4.4198
55.3417,-4.4043,-4.2017,-4.8958
55.3803,-4.7868,-4.3207,-5.1034
55.419,-4.6336,-4.3006,-4.8021
55.4576,-4.7125,-4.4392,-4.8212
55.4963,-5.1943,-4.1788,-5.0704
55.5349,-4.4035,-4.1264,-5.2053
55.5735,-4.4106,-4.1897,-4.4843
55.6122,-4.6912,-4.8803,-4.5089
55.6508,-4.3755,-4.2337,-4.5733
55.6895,-4.3355,-3.9755,-4.5339
55.7281,-4.6041,-4.2865,-4.3127
55.7668,-4.7615,-4.6001,-4.679
55.8054,-5.0757,-4.4849,-4.5019
55.8441,-5.1794,-4.9073,-4.7957
55.8827,-4.5063,-4.2779,-4.6836
55.9214,-4.5166,-4.0162,-4.8006
55.96,-4.8033,-4.7936,-4.5567
55.9987,-4.4352,-5.1748,-4.9621
56.0373,-4.7111,-4.1597,-4.6973
56.0759,-4.5926,-4.5799,-4.625
56.1146,-4.4392,-4.4359,-4.4966
56.1532,-4.7306,-4.42,-4.5875
56.1919,-4.7085,-4.8237,-4.6792
56.2305,-4.5261,-4.771,-4.5439
56.2692,-4.4513,-4.6894,-4.3284
56.3078,-4.3709,-4.2907,-4.7098
56.3465,-4.5096,-4.2403,-4.6695
56.3851,-4.3661,-4.6211,-4.7694
56.4238,-4.6713,-4.3418,-4.7145
56.4624,-4.7519,-4.3426,-4.7995
56.5011,-5.0493,-4.164,-5.3638
56.5397,-5.0855,-4.4979,-4.4056
56.5784,-5.004,-5.1112,-4.6559
56.617,-4.335,-4.051,-4.3274
56.6556,-4.5101,-4.1768,-5.0514
56.6943,-4.8043,-4.8733,-4.7571
56.7329,-4.6221,-4.6422,-5.2025
56.7716,-4.869,-4.5162,-4.4253
56.8102,-4.3789,-4.6777,-4.5131
56.8489,-4.6191,-4.3043,-4.9054
56.8875,-4.8235,-4.2836,-4.8192
56.9262,-5.6119,-4.4302,-4.6805
56.9648,-4.7035,-4.804,-4.743
57.0035,-5.2251,-4.5444,-4.5626
57.0421,-4.897,-4.1962,-4.5655
57.0808,-4.6784,-4.6782,-4.4156
57.1194,-4.3273,-4.12,-4.2773
57.158,-4.4306,-4.64,-4.797
57.1967,-4.378,-4.3779,-4.7932
57.2353,-4.4265,-4.062,-4.8949
57.274,-4.5973,-4.5573,-4.1718
57.3126,-4.6653,-4.2815,-4.4884
57.3513,-4.9296,-4.5359,-4.9401
57.3899,-4.3802,-4.3266,-4.5833
57.4286,-4.5837,-4.9557,-4.425
57.4672,-4.4277,-4.3791,-4.5663
57.5059,-5.1723,-4.5489,-4.341
57.5445,-4.1957,-3.9627,-4.335
57.5832,-4.4871,-4.7218,-4.3429
57.6218,-4.6945,-4.3985,-4.4361
57.6605,-4.3992,-4.1464,-4.5591
57.6991,-4.6472,-4.5865,-4.7152
57.7377,-4.7743,-4.976,-5.2499
57.7764,-4.4804,-4.3695,-4.9129
57.815,-4.2562,-3.914,-4.7016
57.8537,-4.3881,-4.3125,-4.835
57.8923,-4.7633,-4.5788,-5.0427
57.931,-4.6743,-4.6247,-4.7459
57.9696,-4.4476,-4.2044,-5.4657
58.0083,-4.7411,-4.6791,-4.6997
58.0469,-4.4783,-4.2119,-4.8447
58.0856,-5.2517,-4.5297,-4.3382
58.1242,-4.7107,-4.1914,-4.7789
58.1629,-4.4313,-4.2394,-5.2017
58.2015,-4.5223,-4.2201,-4.4492
58.2401,-4.7159,-4.7779,-4.6845
58.2788,-4.5535,-4.0598,-4.5447
58.3174,-4.4615,-4.2731,-4.8159
58.3561,-4.6135,-5.3055,-4.762
58.3947,-4.4674,-4.4125,-4.5502
58.4334,-4.5123,-4.636,-4.1448
58.472,-4.7826,-4.4806,-4.891
58.5107,-4.3283,-4.2907,-4.7293
58.5493,-4.6168,-4.194,-4.4864
58.588,-5.246,-4.5422,-4.2737
58.6266,-4.6288,-4.4532,-4.5902
58.6653,-4.9034,-4.3771,-4.7578
58.7039,-5.3125,-4.9678,-4.7315
58.7425,-4.2944,-4.0372,-4.786
58.7812,-4.7596,-4.6659,-4.5541
58.8198,-4.4886,-4.3834,-4.5019
58.8585,-4.7996,-4.5582,-5.1402
58.8971,-4.5776,-4.691,-4.7147
58.9358,-4.5979,-4.3942,-4.7685
58.9744,-4.5192,-4.2201,-4.6872
59.0131,-4.469,-4.365,-4.5918
59.0517,-4.3324,-4.3767,-4.93
59.0904,-5.1959,-4.503,-4.6584
59.129,-4.336,-4.1817,-4.6532
59.1677,-4.6204,-4.4606,-5.0778
59.2063,-4.8846,-4.578,-4.5456
59.245,-4.6238,-4.8819,-4.737
59.2836,-4.6071,-4.9839,-4.5077
59.3222,-4.1499,-3.924,-5.6589
59.3609,-5.009,-4.6292,-4.3495
59.3995,-4.6957,-4.5685,-5.1678
59.4382,-5.4352,-4.4984,-4.5599
59.4768,-4.4152,-4.2437,-5.1142
59.5155,-4.6015,-4.206,-5.3553
59.5541,-4.7434,-4.2256,-4.6431
59.5928,-4.716,-4.5055,-4.4911
59.6314,-5.0995,-4.7401,-4.9337
59.6701,-4.8443,-4.3596,-5.0201
59.7087,-4.815,-4.2913,-4.4427
59.7474,-4.7741,-4.6984,-4.8805
59.786,-4.4338,-4.2211,-4.5027
59.8246,-4.3411,-4.114,-5.5408
59.8633,-4.4512,-4.1416,-4.5629
59.9019,-4.5253,-4.5579,-4.6792
59.9406,-4.1808,-3.9708,-4.7655
59.9792,-3.1878,-3.2167,-3.3271
60.0179,-4.0848,-3.977,-4.0086
60.0565,-4.6252,-4.1272,-4.3101
60.0952,-4.2792,-4.0627,-5.2381
60.1338,-4.4779,-4.5217,-4.7406
60.1725,-4.6407,-5.0085,-5.0909
60.2111,-4.2114,-4.1745,-4.6174
60.2498,-4.5592,-4.5413,-4.5318
60.2884,-4.5682,-4.7168,-4.437
60.3271,-4.7367,-4.2124,-4.5025
60.3657,-4.4862,-4.4382,-4.3217
60.4043,-4.5158,-4.6834,-4.3121
60.443,-4.6874,-4.7884,-4.8693
60.4816,-4.4916,-4.7302,-5.0495
60.5203,-4.3933,-4.4707,-4.6794
60.5589,-4.2878,-4.3117,-5.3156
60.5976,-4.719,-4.7706,-4.4899
60.6362,-4.6364,-4.6866,-4.8124
60.6749,-4.3649,-4.492,-4.6365
60.7135,-4.483,-4.26,-4.7671
60.7522,-5.204,-4.8471,-4.4241
60.7908,-4.6515,-4.5279,-4.911
60.8295,-4.4953,-4.5666,-5.6341
60.8681,-4.6433,-5.0136,-4.2531
60.9067,-4.3827,-4.466,-4.7826
60.9454,-4.5136,-4.3419,-4.483
60.984,-4.408,-4.721,-5.2987
61.0227,-4.3348,-4.2628,-4.5846
61.0613,-4.6753,-5.0276,-4.8294
61.1,-4.7876,-4.6163,-4.2867
61.1386,-4.6743,-4.9037,-4.687
61.1773,-4.7326,-4.467,-4.7056
61.2159,-4.6119,-4.1917,-4.5578
61.2546,-4.8111,-4.583,-4.6176
61.2932,-4.7832,-4.6181,-5.2256
61.3319,-4.6049,-4.7231,-4.549
61.3705,-4.3937,-4.3508,-4.3352
61.4092,-4.3485,-4.5886,-4.4976
61.4478,-4.5637,-5.1783,-4.6726
61.4864,-4.3177,-4.2767,-4.9791
61.5251,-4.998,-4.5224,-4.2036
61.5637,-5.396,-4.4034,-4.3822
61.6024,-4.3987,-4.5725,-4.7516
61.641,-4.6802,-4.2727,-4.4377
61.6797,-4.4907,-4.3965,-4.5865
61.7183,-4.4573,-4.4743,-4.7085
61.757,-4.5514,-4.2668,-4.67
61.7956,-4.398,-4.7086,-4.5791
61.8343,-4.8226,-4.7335,-4.7305
61.8729,-4.5257,-4.3807,-4.4709
61.9116,-5.105,-4.2882,-4.887
61.9502,-4.9184,-4.5557,-4.7541
61.9888,-4.7873,-4.6485,-4.7823
62.0275,-4.5814,-4.8846,-4.9058
62.0661,-4.5357,-4.4141,-4.319
62.1048,-4.6446,-4.8624,-4.524
62.1434,-4.7512,-4.4391,-4.4823
62.1821,-5.0228,-4.5052,-4.536
62.2207,-4.9184,-4.4808,-4.6719
62.2594,-4.5845,-4.8264,-4.5704
62.298,-4.4117,-4.6862,-4.575
62.3367,-4.3785,-4.3444,-4.9313
62.3753,-4.4064,-4.2849,-4.5233
62.414,-4.5647,-4.6646,-4.8912
62.4526,-4.4151,-4.6603,-4.3131
62.4913,-4.7417,-4.4978,-4.45
62.5299,-5.1635,-4.2284,-4.1638
62.5685,-5.208,-5.5474,-4.4535
62.6072,-4.527,-4.6288,-4.8227
62.6458,-4.5597,-4.7546,-4.4032
62.6845,-4.6328,-4.2037,-4.3859
62.7231,-4.6909,-5.7069,-4.4432
62.7618,-4.2559,-4.1217,-4.5509
62.8004,-4.7022,-4.9825,-5.1027
62.8391,-4.571,-4.9363,-4.5184
62.8777,-4.4362,-4.7169,-4.7326
62.9164,-4.5037,-4.4191,-4.4156
62.955,-5.3708,-4.6016,-4.4496
62.9937,-4.4572,-4.4937,-4.7029
63.0323,-4.7314,-4.4185,-4.8629
63.0709,-4.577,-4.5276,-4.8205
63.1096,-5.5205,-4.1802,-4.4763
63.1482,-4.8568,-4.9148,-4.3812
63.1869,-4.6363,-5.0694,-5.0314
63.2255,-4.924,-4.7374,-4.6825
63.2642,-4.4777,-4.3959,-4.6574
63.3028,-4.5727,-4.7153,-4.4375
63.3415,-4.5021,-4.8977,-4.5094
63.3801,-5.2838,-5.0033,-4.47
63.4188,-4.3954,-4.327,-4.5105
63.4574,-4.3592,-4.5347,-4.6337
63.4961,-4.4808,-4.3229,-4.4974
63.5347,-4.9087,-4.6754,-4.4302
63.5734,-4.6492,-4.3489,-5.2313
63.612,-4.7704,-4.701,-4.7557
63.6506,-4.7015,-4.6723,-4.4017
63.6893,-4.4452,-4.4301,-4.3969
63.7279,-4.9977,-4.8007,-4.8843
63.7666,-4.8009,-4.6665,-4.4581
63.8052,-4.4149,-4.4322,-5.0129
63.8439,-4.5536,-4.478,-4.775
63.8825,-5.141,-4.5917,-4.7521
63.9212,-4.5602,-4.4029,-4.342
63.9598,-4.4612,-5.0806,-4.5282
63.9985,-4.7749,-4.7453,-5.4375
64.0371,-4.7793,-5.017,-4.4666
64.0758,-4.3808,-4.3687,-4.8512
64.1144,-4.805,-4.8345,-4.5852
64.153,-4.6661,-5.1699,-4.5087
64.1917,-4.3107,-4.3841,-5.1293
64.2303,-4.6153,-4.5521,-4.3871
64.269,-5.1476,-4.9994,-4.5959
64.3076,-4.6014,-4.5007,-4.4731
64.3463,-4.4107,-4.5306,-4.5459
64.3849,-5.5313,-4.6577,-5.2833
64.4236,-4.3745,-4.1702,-4.8533
64.4622,-4.6935,-4.7081,-4.4397
64.5009,-4.785,-4.5207,-4.4989
64.5395,-4.8862,-4.6059,-4.5808
64.5782,-4.8165,-4.3107,-4.6221
64.6168,-4.4855,-4.4062,-4.7185
64.6555,-4.5087,-4.4213,-4.4218
64.6941,-4.4897,-4.6367,-5.2005
64.7327,-4.593,-4.4418,-4.3674
64.7714,-4.4397,-4.6713,-4.8987
64.81,-4.6572,-4.7345,-4.3634
64.8487,-4.5892,-4.3132,-4.1959
64.8873,-4.3739,-4.5115,-4.5021
64.926,-4.7417,-4.5381,-4.9128
64.9646,-4.7769,-4.5659,-5.1186
65.0033,-4.9277,-4.6464,-4.6245
65.0419,-4.3054,-4.1653,-4.6317
65.0806,-4.658,-4.9196,-4.5074
65.1192,-4.5805,-4.4667,-5.1131
65.1579,-4.7372,-5.2996,-4.358
65.1965,-4.4662,-4.6425,-4.9798
65.2351,-4.4426,-4.5096,-4.5596
65.2738,-5.0517,-4.5787,-4.5005
65.3124,-5.0446,-4.6689,-4.2876
65.3511,-5.2458,-5.9026,-5.4906
65.3897,-4.4008,-4.6142,-4.5562
65.4284,-4.807,-4.7671,-4.613
65.467,-4.5455,-5.433,-4.643
65.5057,-5.4273,-4.5978,-5.2387
65.5443,-4.8459,-4.6031,-4.6994
65.583,-4.4581,-4.5725,-4.3751
65.6216,-4.4878,-4.2757,-4.8543
65.6603,-4.5518,-4.4016,-4.8166
65.6989,-4.6729,-4.8145,-5.2472
65.7376,-4.9914,-4.6256,-4.4751
65.7762,-4.6824,-4.6038,-4.6398
65.8148,-4.6167,-4.9587,-4.7133
65.8535,-4.7462,-4.7524,-4.6251
65.8921,-5.0509,-4.3557,-4.5872
65.9308,-4.895,-5.0458,-4.4747
65.9694,-4.751,-4.7107,-4.805
66.0081,-4.456,-4.3859,-4.3448
66.0467,-5.1128,-4.561,-4.4497
66.0854,-4.4534,-4.5202,-4.5033
66.124,-4.862,-4.6401,-4.5924
66.1627,-4.724,-4.1836,-4.3806
66.2013,-4.954,-4.5084,-4.5686
66.24,-4.4885,-4.5312,-4.4463
66.2786,-4.927,-4.695,-4.4294
66.3172,-4.5365,-4.6389,-4.7528
66.3559,-4.5876,-4.2878,-4.5098
66.3945,-4.5685,-4.5698,-4.8369
66.4332,-4.5421,-4.5689,-4.3304
66.4718,-4.5664,-4.4522,-4.4905
66.5105,-4.664,-4.4952,-4.4962
66.5491,-4.7538,-5.0258,-4.5649
66.5878,-5.3462,-4.7626,-4.3697
66.6264,-4.4082,-4.3103,-5.1824
66.6651,-4.7054,-5.0314,-5.2869
66.7037,-4.7078,-4.5386,-4.4862
66.7424,-5.1171,-4.6515,-4.3756
66.781,-4.6224,-4.7938,-4.7587
66.8197,-4.5093,-4.5537,-5.054
66.8583,-5.0121,-5.2323,-4.548
66.8969,-4.8354,-4.3575,-5.7633
66.9356,-4.8334,-4.3188,-5.0551
66.9742,-4.447,-4.3997,-5.1427
67.0129,-4.7444,-4.4531,-4.5853
67.0515,-4.5351,-4.3947,-4.8532
67.0902,-4.7113,-4.2959,-4.4994
67.1288,-4.753,-4.447,-4.7812
67.1675,-5.0608,-4.8509,-5.0974
67.2061,-4.8181,-5.2675,-4.7565
67.2448,-4.5128,-4.5672,-5.1077
67.2834,-5.097,-4.4401,-4.6766
67.3221,-4.7449,-4.856,-4.5719
67.3607,-4.5745,-4.8141,-4.3626
67.3993,-4.8634,-4.9836,-4.4294
67.438,-4.5862,-4.3709,-4.7998
67.4766,-4.85,-4.9339,-4.8624
67.5153,-4.4909,-4.4682,-4.9738
67.5539,-4.645,-4.5534,-4.967
67.5926,-4.7142,-5.1906,-4.6236
67.6312,-5.083,-4.636,-4.3918
67.6699,-4.4194,-4.5579,-4.6561
67.7085,-4.7882,-4.6461,-4.9819
67.7472,-4.5528,-4.6649,-4.7817
67.7858,-4.5506,-4.4914,-4.8187
67.8245,-4.5814,-4.4069,-5.1383
67.8631,-4.5585,-4.6423,-4.6719
67.9017,-5.0469,-4.8612,-4.2643
67.9404,-4.6222,-4.6308,-5.085
67.979,-4.8086,-5.3701,-4.5596
68.0177,-5.0525,-4.7052,-4.7396
68.0563,-4.6327,-4.8049,-4.7946
68.095,-5.3722,-4.9215,-4.6102
68.1336,-4.5282,-4.5477,-4.535
68.1723,-4.6934,-4.5964,-4.6351
68.2109,-4.7687,-4.772,-4.9674
68.2496,-4.8636,-4.7779,-4.4885
68.2882,-4.6141,-5.4302,-4.5497
68.3269,-4.4066,-4.2923,-4.5333
68.3655,-4.6908,-4.5373,-5.0853
68.4042,-4.6376,-4.6208,-4.9382
68.4428,-5.4708,-4.5117,-4.9761
68.4814,-4.4217,-4.5016,-5.0241
68.5201,-5.0846,-5.1694,-4.5796
68.5587,-4.3844,-4.4859,-5.2487
68.5974,-4.5183,-4.537,-5.7872
68.636,-4.5815,-4.9429,-4.4912
68.6747,-4.7713,-4.562,-4.5835
68.7133,-4.5718,-4.5606,-5.0204
68.752,-4.7016,-4.6483,-4.67
68.7906,-4.4007,-4.6291,-5.1126
68.8293,-4.5402,-4.5258,-5.0946
68.8679,-4.7152,-4.6129,-4.2968
68.9066,-4.5794,-4.644,-4.8601
68.9452,-5.2,-4.7672,-5.3882
68.9838,-4.9442,-4.976,-4.8739
69.0225,-4.6255,-4.4369,-4.5883
69.0611,-4.5497,-4.6376,-4.5326
69.0998,-4.6519,-4.3561,-4.7433
69.1384,-4.6711,-5.393,-4.4203
69.1771,-4.6327,-4.3274,-4.6604
69.2157,-4.6602,-4.8666,-4.4801
69.2544,-4.8865,-4.4413,-4.7003
69.293,-4.8043,-4.6009,-4.8056
69.3317,-5.5015,-5.1223,-4.5842
69.3703,-4.5264,-4.5571,-4.5653
69.409,-4.6417,-4.884,-4.7159
69.4476,-4.8084,-4.8023,-4.4552
69.4863,-5.078,-4.9423,-5.0603
69.5249,-4.7847,-5.2376,-4.3503
69.5635,-4.6587,-4.4604,-4.526
69.6022,-5.3678,-4.7396,-4.4188
69.6408,-4.7801,-4.6064,-4.826
69.6795,-4.4442,-4.3689,-4.6373
69.7181,-4.6415,-4.5629,-4.4947
69.7568,-4.5993,-4.9772,-5.1931
69.7954,-5.0583,-5.0591,-4.6893
69.8341,-4.7926,-4.6642,-4.4796
69.8727,-4.6888,-5.0355,-4.713
69.9114,-4.6478,-4.5648,-4.9704
69.95,-4.5958,-4.2819,-4.6589
69.9887,-4.3986,-3.894,-3.7534
70.0273,-4.651,-4.4812,-4.2604
70.0659,-5.1992,-4.4091,-4.3132
70.1046,-4.9007,-4.628,-4.6169
70.1432,-4.5103,-4.5601,-4.2308
70.1819,-4.6589,-4.7003,-4.7983
70.2205,-4.5396,-4.5769,-4.3133
70.2592,-4.6662,-4.5013,-4.4708
70.2978,-4.6131,-4.7648,-4.3907
70.3365,-4.6896,-4.304,-5.0699
70.3751,-4.8547,-4.7112,-4.9576
70.4138,-4.7158,-4.6127,-4.663
70.4524,-4.5449,-4.4317,-4.3991
70.4911,-4.7877,-4.4293,-4.8208
70.5297,-4.4256,-4.616,-4.6263
70.5684,-4.9459,-4.6973,-4.8165
70.607,-4.5845,-4.5749,-4.2942
70.6456,-4.4572,-4.9279,-5.0997
70.6843,-4.5634,-4.5319,-4.757
70.7229,-5.0496,-4.9094,-4.7429
70.7616,-4.8927,-4.4871,-4.9277
70.8002,-4.9332,-5.8398,-4.6649
70.8389,-4.3255,-4.3014,-4.3602
70.8775,-4.9793,-4.994,-4.7102
70.9162,-4.4196,-4.5782,-4.6834
70.9548,-4.6169,-4.7049,-5.4092
70.9935,-4.8106,-5.044,-4.617
71.0321,-4.6937,-4.387,-4.4502
71.0708,-4.3618,-4.6592,-4.4558
71.1094,-4.5694,-4.5854,-5.3992
71.148,-4.9031,-4.8775,-4.604
71.1867,-4.5572,-4.8336,-4.4529
71.2253,-4.3911,-4.4815,-4.8639
71.264,-4.7801,-4.43,-5.0556
71.3026,-4.5519,-4.5642,-4.3687
71.3413,-4.8018,-5.0307,-4.674
71.3799,-4.4387,-4.687,-4.5766
71.4186,-4.9629,-4.7448,-4.574
